Population_centroid,index_right,UID,GID_0,NAME_0,VARNAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,ISO_1,HASC_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,GID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,CC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,GID_4,NAME_4,VARNAME_4,CC_4,TYPE_4,ENGTYPE_4,VALIDFR_4,GID_5,NAME_5,CC_5,TYPE_5,ENGTYPE_5,GOVERNEDBY,SOVEREIGN,DISPUTEDBY,REGION,VARREGION,COUNTRY,CONTINENT,SUBCONT,Total_Demand_2024_centroid,Total_Demand_2030_centroid,Total_Demand_2050_centroid
301.71620067492125,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,4230.070900800434,4222.520787286153,4211.449243299257
290.74321897879247,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,4076.229342196755,4068.9538153874983,4058.2849274371174
19.711072847247124,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,276.349879417092,275.8566316658871,275.1333294051234
117.13828679919243,18403,18404,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.4_1,Lunana,,ལུང་ནག་ན་,BT.GA.LN,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,1642.2825729956432,1639.3513171988914,1635.0529013632624
10.106623158901929,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,141.69518386547927,141.44227682261885,141.0714120078941
9.089576478004455,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,127.43615647485076,127.20869989793458,126.87515584039521
25.005513727664948,18403,18404,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.4_1,Lunana,,ལུང་ནག་ན་,BT.GA.LN,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,350.57811195536954,349.95237668923374,349.0347937270611
2.6800880932807924,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,37.574921829217935,37.507855595163285,37.40950915852138
0.0017162449657917023,18402,18403,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.3_1,Laya,,ལ་ཡ་,BT.GA.LY,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,0.024061809979712353,0.024018862851646124,0.023955884855805843
6.195811319351196,18403,18404,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.4_1,Lunana,,ལུང་ནག་ན་,BT.GA.LN,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,86.86547527182857,86.71043196069868,86.48307526787524
0.582129430770874,18403,18404,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.4_1,Lunana,,ལུང་ནག་ན་,BT.GA.LN,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,8.161473464451172,8.146906320650167,8.1255449499832
2.7111763572692875,18403,18404,BTN,Bhutan,,BTN.4_1,Gasa,,མགར་ས་རྫོང་ཁག,BT-GA,BT.GA,,Dzongkhag,District,1992,BTN.4.4_1,Lunana,,ལུང་ནག་ན་,BT.GA.LN,,Gewog,Village block,Unknown,,,,,,,,,,,,,,,,,,,,,,,Bhutan,,,,Bhutan,Asia,,38.01078029674459,37.94293611334035,37.843448885844474
